Certification Body	Certified Organization Name	TE ID	Retired TE ID	License Number	Native Name	Country/Area	SC Number	SC Version Number	Standard	SC Status	Last Updated Date
ASCP	JINZHOU CITY HUICHENG HAT INDUSTRY CO., LTD	TE-00065230		TE-00065230		China	ASC-00065230-GRS-2025-00052000	ASC-00065230-GRS-2025-00052000	GRS	Valid	2025-11-25
ASCP	LINYI ZHAOXING ARTS & CRAFTS CO.,LTD	TE-00065338		TE-00065338		China	ASC-00065338-GRS-2025-00034900	ASC-00065338-GRS-2025-00034900	GRS	Valid	2025-06-17
ASCP	Nantong Heyun Textile Materials Co., Ltd.	TE-00065465		TE-00065465		China	ASC-00065465-GRS-2025-00040800	ASC-00065465-GRS-2025-00040800	GRS	Valid	2025-09-13
ASCP	Qingdao Daily Fashion Garment Co., Ltd.	TE-00065687		TE-00065687		China	ASC-00065687-GRS-2025-00041900	ASC-00065687-GRS-2025-00041901	GRS	Valid	2025-09-28
ASCP	QUANZHOU GUANGYU CHEMICAL FIBER CO., LTD	TE-00065735		TE-00065735		China	ASC-00065735-GRS-2025-00044500	ASC-00065735-GRS-2025-00044500	GRS	Valid	2025-09-22
ASCP	Quanzhou Huanchen Trading Co., Ltd.	TE-00065741		TE-00065741		China	ASC-00065741-GRS-2025-00050900	ASC-00065741-GRS-2025-00050900	GRS	Valid	2025-11-20
ASCP	Shijiazhuang Yizhaoda Textile Co., Ltd	TE-00066032		TE-00066032		China	ASC-00066032-GRS-2025-00053400	ASC-00066032-GRS-2025-00053400	GRS	Valid	2025-11-28
ASCP	SUN TIME INDUSTRIAL CO., LIMITED	TE-00066115		TE-00066115		China	ASC-00066115-GRS-2025-00048100	ASC-00066115-GRS-2025-00048100	GRS	Valid	2025-11-09
ASCP	WUYI JIAHE TRAVEL LEISURE PRODUCTS CO., LTD.	TE-00066431		TE-00066431		China	ASC-00066431-GRS-2025-00046700	ASC-00066431-GRS-2025-00046700	GRS	Valid	2025-10-16
ASCP	JIANDE TONGZAN HOMESLUB CO., LTD.	TE-00070433		TE-00070433		China	ASC-00070433-GRS-2025-00030000	ASC-00070433-GRS-2025-00030000	GRS	Valid	2025-03-28
ASCP	JIANGYIN JINXUAN TEXTILE CO., LTD	TE-00070450		TE-00070450		China	ASC-00070450-GRS-2025-00026400	ASC-00070450-GRS-2025-00026403	GRS	Valid	2025-11-05
ASCP	JIANGYIN JINXUAN TEXTILE CO., LTD	TE-00070450		TE-00070450		China	ASC-00070450-OCS-2025-00026400	ASC-00070450-OCS-2025-00026400	OCS	Valid	2025-03-28
ASCP	Shaoxing Shangyu Sunny Garment Co.,Ltd.	TE-00070882		TE-00070882		China	ASC-00070882-GRS-2025-00039600	ASC-00070882-GRS-2025-00039602	GRS	Valid	2025-11-21
ASCP	Yiwu Qilun Ecological Technology Co., LTD	TE-00071117		TE-00071117		China	ASC-00071117-GRS-2025-00053200	ASC-00071117-GRS-2025-00053200	GRS	Valid	2025-11-28
ASCP	Zhongshan Hongyi Garment Accessories Co., Ltd.	TE-00071213		TE-00071213		China	ASC-00071213-GRS-2025-00032500	ASC-00071213-GRS-2025-00032501	GRS	Valid	2025-07-25
ASCP	Wuxi Hongjin Carpet Technology Co., Ltd.	TE-00072751		TE-00072751		China	ASC-00072751-GRS-2025-00051000	ASC-00072751-GRS-2025-00051000	GRS	Valid	2025-11-20
ASCP	ZHUCHENG JINGYUAN GARMENTS CO.,LTD.	TE-00073004		TE-00073004		China	ASC-00073004-OCS-2025-00048900	ASC-00073004-OCS-2025-00048900	OCS	Valid	2025-11-12
ASCP	NANPING XINCAI GARMENTS CO., LTD	TE-00074013		TE-00074013		China	ASC-00074013-OCS-2025-00041000	ASC-00074013-OCS-2025-00041000	OCS	Valid	2025-08-28
ASCP	Changshu Jifute Non Woven Products Co., Ltd.	TE-00076213		TE-00076213		China	ASC-00076213-GRS-2024-00024900	ASC-00076213-GRS-2024-00024900	GRS	Valid	2024-12-31
ASCP	Fujian Nanping Miqi Knitting Co.,Ltd	TE-00076596		TE-00076596		China	ASC-00076596-MUL-2025-00042800	ASC-00076596-MUL-2025-00042800	RCS,OCS	Valid	2025-10-13
ASCP	YANTAI SINGRAIN HOME TEXTILES CO.,LTD	TE-00100203		TE-00100203		China	ASC-00100203-GRS-2025-00048800	ASC-00100203-GRS-2025-00048801	GRS	Valid	2025-11-12
ASCP	Haiyang Yaliqi Garment Co., Ltd.	TE-00100232		TE-00100232		China	ASC-00100232-GRS-2025-00025700	ASC-00100232-GRS-2025-00025702	GRS	Valid	2025-06-20
ASCP	Shaoxing Yituo Garment Accessories CO., LTD.	TE-00100298		TE-00100298		China	ASC-00100298-GRS-2025-00052200	ASC-00100298-GRS-2025-00052200	GRS	Valid	2025-11-25
ASCP	TAIAN LIYUAN INDUSTRY AND TRADE CO., LTD.	TE-00100501		TE-00100501		China	ASC-00100501-OCS-2025-00027200	ASC-00100501-OCS-2025-00027202	OCS	Valid	2025-08-19
ASCP	DANYANG GREAT YIELD CAMPING GOODS CO., LTD.	TE-00101094		TE-00101094		China	ASC-00101094-GRS-2025-00048200	ASC-00101094-GRS-2025-00048201	GRS	Valid	2025-11-27
ASCP	Shandong Rushan Arts & Crafts Co., Ltd.	TE-00102719		TE-00102719		China	ASC-00102719-GRS-2025-00031200	ASC-00102719-GRS-2025-00031200	GRS	Valid	2025-04-29
ASCP	DALIAN YLS IMP.&EXP.CO.,LTD.	TE-00102877		TE-00102877		China	ASC-00102877-GRS-2025-00036400	ASC-00102877-GRS-2025-00036400	GRS	Valid	2025-07-01
ASCP	DALIAN YLS IMP.&EXP. CO., LTD.	TE-00102877		TE-00102877		China	ASC-00102877-RAF-2025-00027300	ASC-00102877-RAF-2025-00027300	RWS	Valid	2025-02-05
ASCP	Huainan Zhida Bag Co.,Ltd	TE-00102982		TE-00102982		China	ASC-00102982-GRS-2025-00035200	ASC-00102982-GRS-2025-00035200	GRS	Valid	2025-06-13
ASCP	Shandong Easway Apparel Co.,Ltd	TE-00104737		TE-00104737		China	ASC-00104737-GRS-2025-00028300	ASC-00104737-GRS-2025-00028303	GRS	Valid	2025-11-05
ASCP	DONGGUAN MEIAN-HAPE INDUSTRIAL CO., LTD.	TE-00104874		TE-00104874		China	ASC-00104874-GRS-2025-00027000	ASC-00104874-GRS-2025-00027000	GRS	Valid	2025-02-05
ASCP	Zhucheng yihua Knitting Co.,Ltd.	TE-00105225		TE-00105225		China	ASC-00105225-OCS-2025-00040700	ASC-00105225-OCS-2025-00040701	OCS	Valid	2025-10-31
ASCP	QINGDAO GRANTEX CLOTHING CO. LTD	TE-00106143		TE-00106143		China	ASC-00106143-GRS-2025-00029100	ASC-00106143-GRS-2025-00029103	GRS	Valid	2025-08-08
ASCP	QINGDAO GRANTEX CLOTHING CO. LTD	TE-00106143		TE-00106143		China	ASC-00106143-OCS-2025-00029100	ASC-00106143-OCS-2025-00029101	OCS	Valid	2025-04-25
