id	supplier	material_name	composition	composition_formated	colour	width	weight	price	minimum	image_url
7129	IMBOTEX SRL	Purae - Italian Wool	80% wool fiber treated for washability - 20% low-melting fiber pla	"[[80,""wool""],[20,""rayon""]]"	creamy white	152cm	45-60-90-120g/m²	€1,50 - 5,00	50lmt	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/7129
7128	IMBOTEX SRL	Nativa Silk Pad & Graphene	40% recycled polyester with graphene 40% recycled silk 20% low-melting recycled polyester	"[[40,""recycled polyester""],[40,""silk""],[20,""recycled polyester""]]"	white	152cm	45-60-80 g/m²		50lmt	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/7128
7127	IMBOTEX SRL	FLWRFILL - 120g/m²	50% TENCEL™ Lyocell 30% FLWRDWN™ 20% low-melting pla fiber	"[[50,""tencel lyocell""],[30,""down""],[20,""polyamide""]]"	beige	152cm	120g/m²	€9,00-20,00	50lmt	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/7127
7110	BELDA LLORENS	E*Denim Ne 9/1, 16/1 open-end	50% organic cotton 50% recycled pre- and post-consumer cotton (up to 35%post-consumer denim recycled cotton)	"[[50,""regenerative cotton""],[50,""recycled cotton""],[35,""recycled cotton""]]"	light, medium and dark denim		2,2kg	€5.70-6.20/kg	12kg	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/7110
7107	BELDA LLORENS	E*CoHemp Ne 16/1 open-end	70% organic cotton 30% hemp	"[[70,""regenerative cotton""],[30,""hemp""]]"	c#030 raw white		2.2kg	€8.60/kg	12 kg	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/7107
7106	BELDA LLORENS	E*TeHemp Ne 16/1 open-end	70% TENCEL™ Lyocell 30% hemp	"[[70,""tencel lyocell""],[30,""hemp""]]"	raw white		2.2kg	€9.50/kg	12kg	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/7106
7095	OZEN MENSUCAT	BANANA JERSEY	80% organİc cotton 20% banana fiber	"[[80,""regenerative cotton""],[20,""banana fiber""]]"	yellow	175cm	140g/m²	€8/m	500kg	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/7095
7094	OZEN MENSUCAT	REC. CANDY JERSEY	90% organic cotton 10% recycled post-consumer cotton	"[[90,""regenerative cotton""],[10,""recycled cotton""]]"	multicolor neps	165cm	160g/m²	€3,70/m	300kg	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/7094
7093	OZEN MENSUCAT	REC.NOPE PIQUE	90% organic cotton 10% recycled post-consumer cotton	"[[90,""regenerative cotton""],[10,""recycled cotton""]]"	multicolor neps	200cm	210g/m²		500kg	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/7093
7090	BTTR GMBH	Veg tan Kid Leather, ZSF-UNAS	100% kid leather (fully traceable to farm)	"[[100,""leather""]]"	this leather is undyed. They offer a wide range of colours. For dyeing they use REACH compliant, water-based dyes.	average size: 0.33m²	0.5kg/m²	<30m²: €110/m² >30m²: €99/m²	3-15m², depending if in stock or custom made	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/7090
7089	BTTR GMBH	Soft black roe deer LeatherHPR-SNTG	100% roe deer leather (fully traceable to farm)	"[[100,""leather""]]"	this leather has been dyed, using REACH APPROVED water-based dyes. They offer a range of 15 colours.	average size: 1.2m²	0,9kg/m²	<30m²: €120/m² >30m²: €99/m²	3-15m², depending if in stock or custom made	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/7089
7088	BTTR GMBH	Soft brown Nubuck Leather, CowhideRSK-BNTG	100% cow leather (fully traceable to farm)	"[[100,""leather""]]"	this leather has been dyed using aniline dyes. it has lightfast properties. They offer a wide range of colours.	average size: 3m²	1,6kg/m²	<30m²: €110/m² >30m²: €99/m²	3-15m², depending if in stock or custom made	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/7088
7059	DATINI	ALESSIA S.21018	57% recycled wool 20% mohair 20% recycled polyamide 3% recycled other fibers	"[[57,""recycled wool""],[20,""mohair""],[20,""polyamide""],[3,""bamboo rayon""]]"	colour card e	150cm total - 148cm cuttable	360g/m²		on request	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/7059
6989	RADDIS COTTON	Brushed TWILL 40S X 40 S / 92 X 84	100% regenerative Raddis®cotton	"[[100,""regenerative cotton""]]"	natural dye / GOTS approved dye / natural (un-bleached)	142cm	110g/m²		depending on subscription: min 2000m per colour/ 6000 per order	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/6989
6988	RADDIS COTTON	Double Mousseline 30S X 30S / 88 X 64	100% regenerative Raddis®cotton	"[[100,""regenerative cotton""]]"	natural dye / GOTS approved dye / natural (un-bleached)	165cm	125g/m²		depending on subscription: min 2000m per colour/ 6000 per order	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/6988
6986	RADDIS COTTON	Ottoman	100% regenerative Raddis®cotton	"[[100,""regenerative cotton""]]"	natural dye / GOTS approved dye / natural (un-bleached)	circular knit 32 inch			depending on subscription: min 1000m per colour/ 4000 per order	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/6986
6983	UPW	S.E.T.	2/17.5nm 7gg 100% zq™ extrafine merino wool	"[[100,""merino wool""]]"	set-2376/ shale grey			US$30.60/kg	5,000kg	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/6983
6982	NATURE COATINGS	BioBlack TX by Nature Coatings x Prime Asia - HOME	"Black colour: BioBlack TX; Material Composition: 100% leather"	"[[100,""leather""]]"	coated with bioblack tx by nature coatings - 100% bio-based, certified and carbon negative black pigment from wood waste.			US$6.53/kg	packed in 0.5kg sample, 20kg & 30kg pales, 200kg drums	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/6982
6981	NATURE COATINGS	BioBlack TX by Nature Coatings x Artistic Milliners	"Black colour: BioBlack TX; Material Composition: denim fabric (weaving mill: Artisitc Milliners)"	"[[50,""cotton""],[50,""cotton""]]"	coated with bioblack tx by nature coatings - 100% bio-based, certified and carbon negative black pigment from wood waste.	-	-	US$6.53/kg	packed in 0.5kg sample, 20kg & 30kg pales, 200kg drums	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/6981
6980	NATURE COATINGS	BioBlack TX by Nature Coatings x Prime Asia	"Black colour: BioBlack TX; Material Composition: 100% leather"	"[[100,""leather""]]"	coated with bioblack tx by nature coatings - 100% bio-based, certified and carbon negative black pigment from wood waste.	-	-	US$6.53/kg	packed in 0.5kg sample, 20kg & 30kg pales, 200kg drums	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/6980
6970	UPW	SUBLIME ECO - YMS-E8956/ Indian Peach	2/15nm 7gg 50% yak 50% rws extrafine merino wool	"[[50,""yak hair""],[50,""merino wool""]]"	yms-e8956/ indian peach			US$44.60	1kg - for sampling in special colour minimum 45kg (100lbs) per colour with 30% price surcharge. for bulk on special colour minimum 275kg (606lbs) per colour.	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/6970
6969	UPW	PIUMONE - PM-4005/ Light Camel	1/1nm 1.5gg 100% rws extrafine merino wool	"[[100,""merino wool""]]"	pm-4005/ light camel			US$34.30/kg	1kg - due to fancy yarn properties of piumone,the order minimum is 2kg (4lbs) per colour. if you want more quantity,multiple of the order minimum quantity is required. for own colour combinations not shown on the colourcard, select any 2 colours from tender+, with minimum of 11-25kg (24-55lbs) per colour with 30% price surcharge. customer own colours are not applicable.	https://materials.futurefabricsvirtualexpo.com/frontend/materialimage/6969
